competence,nb_offres,pct,rang
Communication,4049,27.3,1
Anglais,2406,16.2,2
Français,2096,14.1,3
Finance,1635,11.0,4
Suite Office,1491,10.0,5
Leadership,1238,8.3,6
Excel avance,1072,7.2,7
Travail equipe,969,6.5,8
Comptabilite,921,6.2,9
Negociation,844,5.7,10
Word,715,4.8,11
Community management,715,4.8,12
Gestion projet,678,4.6,13
Audit,572,3.9,14
Marketing digital,375,2.5,15
PowerPoint,368,2.5,16
Wolof,364,2.5,17
HTML CSS,203,1.4,18
R stats,194,1.3,19
Sage,192,1.3,20
Tableau,188,1.3,21
Photoshop,185,1.2,22
JavaScript,167,1.1,23
Odoo,158,1.1,24
SQL,145,1.0,25
Python,142,1.0,26
SAP,137,0.9,27
Git,131,0.9,28
Java,117,0.8,29
PHP,109,0.7,30
React,105,0.7,31
Linux,93,0.6,32
Power BI,85,0.6,33
Angular,84,0.6,34
MySQL,75,0.5,35
WordPress,71,0.5,36
PostgreSQL,69,0.5,37
Docker,61,0.4,38
Permis conduire,59,0.4,39
AWS,59,0.4,40
MS Project,55,0.4,41
IFRS,52,0.4,42
OHADA,51,0.3,43
Oracle DB,49,0.3,44
Dart Flutter,47,0.3,45
Data Science,43,0.3,46
SYSCOHADA,42,0.3,47
Espagnol,40,0.3,48
Jira,39,0.3,49
MongoDB,38,0.3,50
Machine Learning,38,0.3,51
Laravel,35,0.2,52
Arabe,34,0.2,53
Salesforce,34,0.2,54
Google Sheets,32,0.2,55
Django,24,0.2,56
VBA,14,0.1,57
SPSS,14,0.1,58
Pandas NumPy,3,0.0,59
C Cpp,1,0.0,60
