indicateur,valeur_entier,valeur_decimal,valeur_txt
Total offres analysées,14848,,
Total offres brutes,15705,,
Doublons / parasites retirés,857,,
Entreprises uniques,4044,,
Nombre de sources,9,,
Secteur #1,2640,,Administration / Gestion
Nb offres secteur #1,2640,,
% secteur #1,,17.8,17.8%
Compétence #1,4049,,Communication
% compétence #1,,27.3,27.3%
Nb offres compétence #1,4049,,
Entreprise #1,259,,Topwork
Nb offres entreprise #1,259,,
Métier #1,951,,Commercial
Nb offres métier #1,951,,
Ville #1,703,,Dakar
Nb offres ville #1,703,,
Croissance mensuelle (%),,50.6,▲ 50.6%
Nb offres dernier mois,247,,
Mois de référence,,,2026-04
Offres avec compétences,9429,,
Moy. compétences / offre,,1.6,1.6
% offres avec entreprise,,92.5,92.5%
Nb offres Informatique Tech,1721,,11.6%
Nb offres Finance Comptabilité,1107,,7.5%
Nb offres Commercial Vente,1764,,11.9%
Nb offres Ressources Humaines,759,,5.1%
