entreprise,nb_offres,pct,rang
Topwork,259,1.7,1
GPF,221,1.5,2
GBG,152,1.0,3
SERVTEC Sénégal,149,1.0,4
ISC,137,0.9,5
RMO Sénégal,131,0.9,6
Phoenix Group,124,0.8,7
Elite RH,117,0.8,8
World Vision International,114,0.8,9
MSF (Médecins Sans Frontières),107,0.7,10
Société de la place,88,0.6,11
AMD Corporate,75,0.5,12
UNICEF,71,0.5,13
Eco Afrique,67,0.5,14
BCEAO,66,0.4,15
Wave,64,0.4,16
ALIMA,62,0.4,17
GIZ,61,0.4,18
CFAO,60,0.4,19
Terrou Bi,56,0.4,20
UNESCO,54,0.4,21
FHI 360,54,0.4,22
RPORTH,53,0.4,23
Plan International,52,0.4,24
UNFPA,51,0.3,25
ANSD,49,0.3,26
UNDP,48,0.3,27
Kalia,48,0.3,28
Top Management 24,47,0.3,29
Energia,47,0.3,30
