secteur,competence,nb_offres,pct_secteur
Administration / Gestion,Communication,763,28.9
Administration / Gestion,Anglais,538,20.4
Administration / Gestion,Finance,395,15.0
Administration / Gestion,Français,389,14.7
Administration / Gestion,Suite Office,388,14.7
Administration / Gestion,Leadership,375,14.2
Administration / Gestion,Excel avance,253,9.6
Administration / Gestion,Gestion projet,179,6.8
Administration / Gestion,Word,175,6.6
Administration / Gestion,Comptabilite,160,6.1
Administration / Gestion,Travail equipe,147,5.6
Administration / Gestion,PowerPoint,112,4.2
Administration / Gestion,Audit,100,3.8
Administration / Gestion,Negociation,100,3.8
Administration / Gestion,Community management,70,2.7
Administration / Gestion,Wolof,65,2.5
Administration / Gestion,Tableau,45,1.7
Administration / Gestion,R stats,38,1.4
Administration / Gestion,Odoo,33,1.2
Administration / Gestion,Marketing digital,24,0.9
Administration / Gestion,SAP,21,0.8
Administration / Gestion,HTML CSS,17,0.6
Administration / Gestion,Sage,15,0.6
Administration / Gestion,MS Project,13,0.5
Administration / Gestion,Jira,13,0.5
Administration / Gestion,PHP,10,0.4
Administration / Gestion,SQL,9,0.3
Administration / Gestion,Power BI,9,0.3
Administration / Gestion,Salesforce,9,0.3
Administration / Gestion,Photoshop,9,0.3
Administration / Gestion,Python,8,0.3
Administration / Gestion,Oracle DB,8,0.3
Administration / Gestion,Java,7,0.3
Administration / Gestion,Linux,7,0.3
Administration / Gestion,Machine Learning,6,0.2
Administration / Gestion,OHADA,6,0.2
Administration / Gestion,Arabe,6,0.2
Administration / Gestion,Espagnol,6,0.2
Administration / Gestion,IFRS,5,0.2
Administration / Gestion,SYSCOHADA,5,0.2
Administration / Gestion,Permis conduire,5,0.2
Administration / Gestion,WordPress,4,0.2
Administration / Gestion,Data Science,4,0.2
Administration / Gestion,React,3,0.1
Administration / Gestion,SPSS,3,0.1
Administration / Gestion,Git,3,0.1
Administration / Gestion,JavaScript,2,0.1
Administration / Gestion,VBA,2,0.1
Administration / Gestion,AWS,2,0.1
Administration / Gestion,Dart Flutter,1,0.0
Administration / Gestion,Angular,1,0.0
Administration / Gestion,Django,1,0.0
Administration / Gestion,MySQL,1,0.0
Administration / Gestion,PostgreSQL,1,0.0
Administration / Gestion,Google Sheets,1,0.0
Agriculture / Environnement,Communication,16,20.5
Agriculture / Environnement,Anglais,15,19.2
Agriculture / Environnement,Français,8,10.3
Agriculture / Environnement,Leadership,8,10.3
Agriculture / Environnement,Gestion projet,6,7.7
Agriculture / Environnement,Excel avance,5,6.4
Agriculture / Environnement,Suite Office,5,6.4
Agriculture / Environnement,Word,5,6.4
Agriculture / Environnement,Wolof,4,5.1
Agriculture / Environnement,Negociation,3,3.8
Agriculture / Environnement,R stats,2,2.6
Agriculture / Environnement,Finance,2,2.6
Agriculture / Environnement,Travail equipe,2,2.6
Agriculture / Environnement,PHP,1,1.3
Agriculture / Environnement,HTML CSS,1,1.3
Agriculture / Environnement,PowerPoint,1,1.3
Agriculture / Environnement,Google Sheets,1,1.3
Agriculture / Environnement,Espagnol,1,1.3
Agriculture / Environnement,MS Project,1,1.3
Banque / Assurance,Communication,26,32.9
Banque / Assurance,Finance,20,25.3
Banque / Assurance,Travail equipe,14,17.7
