titre,entreprise,ville,contrat,date,lien
Chauffeur VTC,MBS,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/mbs-dakar-senegal-prestation-de-services-chauffeur-vtc/
Stagiaire comptable,Société de la place,"Point E, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/societe-point-e-stage-stagiaire-comptable/
Responsable des ventes,NAK'ALA,"Yoff, Dakar",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-cdd-responsable-des-ventes/
Commercial terrain,NAK'ALA,"Yoff, Dakar",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-stage-commercial-terrain/
Closer / Setter (Commercial sur les Réseaux Sociaux),Myfavagency,Sénégal (Télétravail),Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-senegal-teletravail-100-a-domicile-prestation-de-services-closer-setter-commercial-sur-les-reseaux-sociaux-a-distance/
Tailleur ou Couturière,Maison Makeda,Ouakam - Mamelles,Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/maison-makeda-ouakam-mamelles-prestation-de-services-tailleur-ou-couturiere/
Engineering Manager,Myriad,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/myriad-dakar-cdd-cdi-engineering-manager/
Vidéaste,Myfavagency,"Saly, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-saly-senegal-prestation-de-services-stage-videaste-saly-2/
Responsable de Compétences (RC),Alten Sénégal,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-responsable-de-competences-rc/
Lancement de la 6e Cohorte de Formation Humanitaire,Institut EHI,"Dakar, Sénégal",N/A,2026-04-08,https://www.emploidakar.com/offre-demploi/institut-ehi-dakar-senegal-prestation-de-services-lancement-de-la-5e-cohorte-de-formation-humanitaire/
Créateur de contenu / Vlog / Journalisme,Yombal Visibilité,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/yombal-visibilite-dakar-prestation-de-services-creation-de-contenu-vlog-journalisme/
Stagiaire Analyste Carbone,NEA Sénégal,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nea-senegal-dakar-stage-analyste-carbone/
Comptable Fournisseur,TotalEnergies,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/totalenergies-dakar-senegal-cdi-comptable-fournisseur/
