titre,entreprise,ville,contrat,date,lien
Stagiaire IT,Wise Group,"Dakar, Sénégal",Stage,2026-04-09,https://www.emploidakar.com/offre-demploi/wise-group-dakar-senegal-stage-stagiaire-it/
Comptable expérimenté,Société de la place,"Ouest Foire, Rond-point Sipres",Prestation de Services,2026-04-09,https://www.emploidakar.com/offre-demploi/besoin-ouest-foire-rond-point-sipres-prestation-de-services-comptable-experimente/
Directeur Régional – Afrique de l’Ouest,HELP Logistics,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/help-logistics-dakar-senegal-cdi-directeur-regional-afrique-de-louest/
Managing Director Everllence Senegal,Everllence,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/everllence-dakar-senegal-cdi-managing-director-everllence-senegal/
Commissioning Engineer,Everllence,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/everllence-dakar-senegal-cdi-commissioning-engineer/
HR Admin (H/F),Global Talent HR,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/global-talent-hr-dakar-cdd-hr-admin-h-f/
Conseillers commerciaux confirmés et polyvalents,Centre de relation client,"Sud Foire, Dakar",Stage,2026-04-09,https://www.emploidakar.com/offre-demploi/centre-de-relation-client-sud-foire-stage-conseillers-commerciaux-confirmes-et-polyvalents/
Conseillers en Assurance Santé,OMEAVIE Assurances,"Sud Foire, Dakar",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/omeavie-assurances-sud-foire-dakar-cdd-stage-conseiller-commercial/
People Operations Specialist (Chargé RH),Myriad,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/myriad-dakar-cdd-cdi-people-operations-specialist-charge-rh/
Développeur FullStack Sénior – Java / Angular,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-senior-java-angular/
Data Scientist Sénior SQL / Python,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-data-scientist-senior-sql-python/
Dévéloppeur FullStack Java React,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-java-react/
Développeur Fullstack Java/Vue js,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-java-vue-js/
Coordinateurs de Projet,ALIMA,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-coordinateurs-de-projet/
Responsable des Opérations,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-operations-manager-senegal/
Chargé de Données,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-charge-de-donnees/
Chargé de SIG,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-charge-de-sig/
Spécialiste de l’Aviation Civile,Ambassade des États-Unis à Dakar,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/ambassade-des-etats-unis-a-dakar-dakar-senegal-cdi-specialiste-de-laviation-civile/
Conseillers Client Service Client – Français & Anglais,Concentrix,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-conseiller-client-service-client/
Conseillers Client Télévente,Concentrix,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-conseiller-client-televente/
Chargé(e) du budget et de la planification des ressources,WFP,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/wfp-dakar-senegal-cdd-budget-and-programming-associate/
Chargé d’ Administration des Ventes (H/F),RMO Sénégal,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/rmo-senegal-dakar-senegal-cdd-charge-d-administration-des-ventes-h-f/
Chauffeur VTC,MBS,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/mbs-dakar-senegal-prestation-de-services-chauffeur-vtc/
Stagiaire comptable,Société de la place,"Point E, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/societe-point-e-stage-stagiaire-comptable/
Responsable des ventes,NAK'ALA,"Yoff, Dakar",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-cdd-responsable-des-ventes/
Commercial terrain,NAK'ALA,"Yoff, Dakar",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-stage-commercial-terrain/
Closer / Setter (Commercial sur les Réseaux Sociaux),Myfavagency,Sénégal (Télétravail),Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-senegal-teletravail-100-a-domicile-prestation-de-services-closer-setter-commercial-sur-les-reseaux-sociaux-a-distance/
Tailleur ou Couturière,Maison Makeda,Ouakam - Mamelles,Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/maison-makeda-ouakam-mamelles-prestation-de-services-tailleur-ou-couturiere/
Engineering Manager,Myriad,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/myriad-dakar-cdd-cdi-engineering-manager/
Vidéaste,Myfavagency,"Saly, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-saly-senegal-prestation-de-services-stage-videaste-saly-2/
Responsable de Compétences (RC),Alten Sénégal,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-responsable-de-competences-rc/
Lancement de la 6e Cohorte de Formation Humanitaire,Institut EHI,"Dakar, Sénégal",N/A,2026-04-08,https://www.emploidakar.com/offre-demploi/institut-ehi-dakar-senegal-prestation-de-services-lancement-de-la-5e-cohorte-de-formation-humanitaire/
Créateur de contenu / Vlog / Journalisme,Yombal Visibilité,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/yombal-visibilite-dakar-prestation-de-services-creation-de-contenu-vlog-journalisme/
Stagiaire Analyste Carbone,NEA Sénégal,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nea-senegal-dakar-stage-analyste-carbone/
Responsable National Multimédia et Contenus Numériques,Organisation Internationale pour les Migrations,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/organisation-internationale-pour-les-migrations-dakar-senegal-cdd-responsable-national-multimedia-et-contenus-numeriques/
Stagiaire Archiviste Financier,Save the Children International,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/save-the-children-international-dakar-senegal-stage-stagiaire-archiviste-financier/
Chargé d’Approvisionnement,DP World,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/dp-world-dakar-senegal-cdi-charge-dapprovisionnement/
Country Growth Operations Lead,Wave,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/wave-dakar-senegal-cdi-country-growth-operations-lead/
Ingénieur Traitement de l’Eau – Optimisation Énergétique,SUEZ,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/suez-dakar-senegal-cdi-ingenieur-traitement-de-leau-optimisation-energetique/
Coordinateur Hub Innovation – Afrique de l’Ouest,FAO,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/fao-dakar-senegal-cdd-coordinateur-hub-innovation-afrique-de-louest/
Assistant RH,ONU Femmes,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/onu-femmes-dakar-senegal-cdd-assistant-rh/
Senior Specialist – WISH 2 Clinical Support,MSI,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/msi-dakar-senegal-cdd-senior-specialist-wish-2-clinical-support/
Animateur en langue et culture – Sénégal,CorpsAfrica,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/corpsafrica-dakar-senegal-cdd-animateur-en-langue-et-culture-senegal/
Stage En ligne sur la fonction Évaluation,UNICEF,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/unicef-dakar-senegal-stage-stage-en-ligne-sur-la-fonction-evaluation/
Assistant(e) Administratif(ve) et Comptable Bilingue,GBG,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/gbg-dakar-senegal-cdd-assistante-administratifve-et-comptable-bilingue/
Consultant (e) en analyse des politiques éducatives,UNESCO,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/unesco-dakar-senegal-cdd-consultant-e-en-analyse-des-politiques-educatives/
Superviseur des cultures et des contrats d’achat (H/F),RportH SAS,"Saint Louis, Senegal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/rporth-sas-saint-louis-senegal-cdi-superviseur-des-cultures-et-des-contrats-dachat-h-f/
Regional Program Manager,Diakonie Katastrophenhilfe,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/diakonie-katastrophenhilfe-dakar-senegal-cdd-regional-program-manager/
Manager Ressources Humaines – SAO (H/F),Humanity & Inclusion,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/humanity-inclusion-dakar-senegal-cdd-cdi-manager-ressources-humaines-sao-h-f/
Crédit Manager,CFAO,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/cfao-dakar-senegal-cdi-credit-manager/
Superviseur de Caisse,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-cdi-superviseur-de-caisse/
Chef de Garage,IKLO Consulting,"Sicap Liberté 1, villa 1201",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/iklo-consulting-sicap-liberte-1-villa-1201-cdi-chef-de-garage/
Formations et certifications en ligne Coursera – Partenaire d’Emploi Dakar,Coursera,Sénégal,CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/formations-et-certifications-en-ligne-coursera-partenaire-demploi-dakar/
Docteur en pharmacie,Pharmacie Gambetta,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/pharmacie-gambetta-114-avenue-lamine-gueye-dakar-senegal-a-cote-centre-commercial-touba-sandaga-cdd-stage-docteur-en-pharmacie/
Conseiller ou Conseillere de vente – Voyages,Smart Listing Travel,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/smart-listing-travel-dakar-cdi-a-conseiller-ou-conseillere-de-vente-voyages/
Ingénieur Développement Produits agroalimentaire (Snack Food et Céréales),Topwork,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/topwork-dakar-senegal-cdi-ingenieur-developpement-produits-agroalimentaire-snack-food-et-cereales/
Stage en comptabilité,Multinationale,"Dakar, Sénégal",Stage,2026-04-07,https://www.emploidakar.com/offre-demploi/multinationale-dakar-stage-stage-en-comptabilite/
Commerciale Terrain,JAAY LEER,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/jaay-leer-dakar-cdi-commerciale-terrain/
Stagiaire Déclarant en Douane,CEVA Logistics,"Dakar, Sénégal",Stage,2026-04-07,https://www.emploidakar.com/offre-demploi/ceva-logistics-dakar-senegal-stage-stagiaire-declarant-en-douane/
Auditeur Confirmé,Grant Thornton Sénégal,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/grant-thornton-senegal-dakar-senegal-cdi-auditeur-confirme/
02 Auditeurs Seniors,Grant Thornton Sénégal,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/grant-thornton-senegal-dakar-senegal-cdi-02-auditeurs-seniors/
Consultant·e pour la conception du Tostan Junior Program,Tostan,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/tostan-dakar-senegal-cdd-consultant%c2%b7e-pour-la-conception-du-tostan-junior-program/
Enquêteurs,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-prestation-de-services-enqueteurs/
Ingénieurs Statisticiens,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-cdi-ingenieurs-statisticiens/
Chauffeur Bilingue,GBG,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/gbg-dakar-senegal-cdd-chauffeur-bilingue/
Business Developer – Merchant Payments,Djamo,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/djamo-dakar-senegal-cdi-business-developer-merchant-payments/
Coordinateur de Projet,Goethe-Institut,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/goethe-institut-dakar-senegal-cdd-cdi-coordinateur-de-projet/
Agent des Operations Maritimes – Documentation,CEVA Logistics,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/ceva-logistics-dakar-senegal-cdd-cdi-agent-des-operations-maritimes-documentation/
Planificateur(trice)d’infrastructures de sites d’événements,Comité d'Organisation des Jeux Olympiques de la Jeunesse Dakar 2026,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/comite-dorganisation-des-jeux-olympiques-de-la-jeunesse-dakar-2026-dakar-senegal-cdd-planificateurtricedinfrastructures-de-sites-devenements/
Graphique Designer Senior,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-graphique-designer-senior/
Responsable des Operations,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-responsable-des-operations/
Chef de Projet Communication,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-chef-de-projet-communication/
Spécialiste en Communication,REPSFECO,"Sicap Point E, Dakar",Prestation de Services,2026-04-07,https://www.emploidakar.com/offre-demploi/repsfeco-sicap-point-e-immeuble-d-droite-1-er-etage-porte-droite-prestation-de-services-specialiste-en-communication/
Chief Of Staff,Nixacom,Senegal (Remote),CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/nixacom-remote-cdd-chief-of-staff/
Traducteurs professionnels,MGtrad,Sénégal (Télétravail),CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/mgtrad-4ieme-etage-56-av-lalla-yacout-casablanca-20100-cdi-recherche-traducteurs-professionnels/
Chauffeur privé / familial,Top Management 24,"Thiès, Sénégal",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/top-management-24-thies-cdd-cdi-prestation-de-services-chauffeur-prive-familial-a-thies/
Responsable Commercial.e & Partenariats (Part-time) – UBB,UBB - Ubuntu Business Builders,Sénégal (Télétravail),CDI,2026-04-06,https://www.emploidakar.com/offre-demploi/ubb-ubuntu-business-builders-remote-work-cdi-responsable-commercial-e-partenariats-part-time-ubb/
Nounou et Chef Cuisinière Expérimentées,Guest House,"Rufisque, Dakar",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/guest-house-rufisque-cdd-nounou-et-chef-cuisiniere-experimentees/
10 Business Developers,Groupe Taliso,"Dakar, Sénégal",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/groupe-taliso-dakar-cdd-prestation-de-services-stage-business-developer/
Chauffeurs Taxi Particuliers,Urban Cars,"Parcelles Assainies, Dakar",Prestation de Services,2026-04-06,https://www.emploidakar.com/offre-demploi/urban-cars-dakar-parcelles-assainies-prestation-de-services-recrutement-chauffeurs-taxi-particuliers/
Femme de Ménage Qualifiée,Sérénité Pro Service,"Dakar, Sénégal",Prestation de Services,2026-04-06,https://www.emploidakar.com/offre-demploi/serenite-pro-service-dakar-prestation-de-services-femme-de-menage-qualifiee/
Gérante Cuisinière,Fast food à Thiès,"Thiès, Sénégal",Prestation de Services,2026-04-04,https://www.emploidakar.com/offre-demploi/fast-food-thies-prestation-de-services-gerante-cuisiniere/
"Expert BTP, Spécialisé en Génie Maritime/Côtier",Société Internationale d'Ingénierie Conseil,"Dakar, Sénégal",CDD,2026-04-04,https://www.emploidakar.com/offre-demploi/societe-internationale-dingenierie-conseil-dakar-cdd-prestation-de-services-expert-btp-specialise-en-genie-maritime-cotier/
Expert en Modélisation Numérique Appliquée au Milieu Marin Côtier,Société Internationale d'Ingénierie Conseil,Dakar,CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/societe-internationale-dingenierie-conseil-dakar-cdd-prestation-de-services-expert-en-modelisation-numerique-appliquee-au-milieu-marin-cotier/
Business Developer freelance — Apporteur d’affaires,Rise Your Business,"Dakar, Sénégal",Prestation de Services,2026-04-03,https://www.emploidakar.com/offre-demploi/rise-your-business-dakar-senegal-prestation-de-services-business-developer-freelance-apporteur-daffaires-agence-web-rise-your-business/
Gestionnaire Site Web & Réseaux Sociaux,Autozen,"Hann Mariste 2, Dakar",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/autozen-hann-mariste-2-dakar-cdi-gestionnaire-site-web-reseaux-sociaux/
Stagiaire Commerciale,Une entreprise de la place,"Liberte 6 Extention, Dakar",Stage,2026-04-03,https://www.emploidakar.com/offre-demploi/une-entreprise-de-la-place-liberte-6-extention-stage-offre-de-stage-stagiaire-commerciale/
Conseillers Commerciaux (Free Télécom),Nabadji Group SARL,"Dieuppeul Derklé, Dakar",Prestation de Services,2026-04-03,https://www.emploidakar.com/offre-demploi/nabadji-sarl-%f0%9f%93%8d-dakar-dieuppeul-derkle-prestation-de-services-%f0%9f%93%a2-offre-demploi-conseiller-commercial-free-telecom/
Superviseur Recrutement,Sunda International,"Sindia, Thiès, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/sunda-international-sindia-thies-senegal-cdd-superviseur-recrutement/
Chargé de domaine de formation « Secteurs bancaire et financier »,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-de-domaine-de-formation-secteurs-bancaire-et-financier/
Opérateur de maintenance du patrimoine,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-operateur-de-maintenance-du-patrimoine/
Chargé de la réglementation des systèmes et moyens de paiement,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-de-la-reglementation-des-systemes-et-moyens-de-paiement/
Gestionnaire des incidents et des demandes d’assistance,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-gestionnaire-des-incidents-et-des-demandes-dassistance/
Gestionnaire d’opérations financières,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-gestionnaire-doperations-financieres/
Chargé d’études en organisation,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-detudes-en-organisation/
Chargé des projets de communication,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-des-projets-de-communication/
"Senior Malaria Advisor, DOS LEAP Global – Senegal",Dexis,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/dexis-dakar-senegal-cdi-senior-malaria-advisor-dos-leap-global-senegal/
Business Development Director – Senegal,VISA,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/visa-dakar-senegal-cdi-business-development-director-senegal/
Responsable Spa,Club Med,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/club-med-dakar-senegal-cdi-responsable-spa/
Chef(fe) de projet – Déploiement de Réseaux Electriques H/F,Sagemcom,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/sagemcom-dakar-senegal-cdi-cheffe-de-projet-deploiement-de-reseaux-electriques-h-f/
GEF Projects Sub-Regional Coordinator,FAO,"Dakar, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/fao-dakar-senegal-cdd-gef-projects-sub-regional-coordinator/
Ingénieur Projet,Sagemcom,"Dakar, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/sagemcom-dakar-senegal-cdd-cdi-ingenieur-projet/
Restaurant Manager,Top Work,"Dakar, Sénégal",CDD,2026-04-02,https://www.emploidakar.com/offre-demploi/top-work-dakar-senegal-cdd-cdi-restaurant-manager/
HR Associate,UN Women,"Dakar, Sénégal",CDD,2026-04-02,https://www.emploidakar.com/offre-demploi/un-women-dakar-senegal-cdd-hr-associate/
Techniciennes de Surface,CLEANIC,"Dakar, Sénégal",Prestation de Services,2026-04-02,https://www.emploidakar.com/offre-demploi/cleanic-dakar-prestation-de-services-technicienne-de-surface-2/
Téléconseiller en prise de RDV B2B,Vocalis Africa International,"Dakar, Sénégal",Prestation de Services,2026-04-02,https://www.emploidakar.com/offre-demploi/vocalis-africa-international-senegal-prestation-de-services-teleconseiller-en-prise-de-rdv-b2b/
Community Manager,Groupe Téranga Communication,"Keur Massar, Dakar",Stage,2026-04-01,https://www.emploidakar.com/offre-demploi/groupe-teranga-communication-keur-massar-stage-community-manager/
