titre,entreprise,ville,contrat,date,lien,source
SAC est à la recherche de 6 commerciaux,N/A,"Ngaparou,
                                                                                Thiès",,"Aujourd'hui, 09:52",https://www.expat-dakar.com/annonce/sac-est-a-la-recherche-de-6-commerciaux-6682618,expat-dakar.com
OFFRE D’EMPLOI/ Postes disponibles : Vendeurs / Vendeuses,N/A,"Ngaparou,
                                                                                Thiès",,"Aujourd'hui, 09:48",https://www.expat-dakar.com/annonce/offre-demploi-postes-disponibles-vendeurs-vendeuses-6682606,expat-dakar.com
Chargé d’ Administration des Ventes (H/F),RMO Sénégal,"Dakar,
                                                                                Dakar",RMO Sénégal,"Aujourd'hui, 09:20",https://www.expat-dakar.com/annonce/charge-d-administration-des-ventes-hf-6682536,expat-dakar.com
Conseillers Client Télévente,Concentrix,"Dakar,
                                                                                Dakar",Concentrix,"Aujourd'hui, 09:17",https://www.expat-dakar.com/annonce/conseillers-client-televente-6682519,expat-dakar.com
Livreur disposant d'un permis,WELLMAH,"Sicap Sacré-cœur,
                                                                                Dakar",WELLMAH,"Hier, 17:13",https://www.expat-dakar.com/annonce/livreur-disposant-dun-permis-6565905,expat-dakar.com
RECRUTEMENT PERSONNEL,N/A,"Keur Massar,
                                                                                Dakar",,"Hier, 17:10",https://www.expat-dakar.com/annonce/recrutement-personnel-6597854,expat-dakar.com
RECRUTEMENENT AGENT DE SANTE COMMUNAUTAIRE,N/A,"Mbao,
                                                                                Dakar",,"Hier, 15:54",https://www.expat-dakar.com/annonce/recrutemenent-agent-de-sante-communautaire-6681722,expat-dakar.com
Transport,N/A,"Hlm grand-yoff,
                                                                                Dakar",,"Hier, 15:33",https://www.expat-dakar.com/annonce/transport-6681699,expat-dakar.com
Recrutement Agent Terrain Orange,N/A,"Médina,
                                                                                Dakar",,"Hier, 13:52",https://www.expat-dakar.com/annonce/recrutement-agent-terrain-orange-6681600,expat-dakar.com
LIVREUR MOTO,N/A,"Liberte 6,
                                                                                Dakar",,"Hier, 12:56",https://www.expat-dakar.com/annonce/livreur-moto-6681448,expat-dakar.com
cherche plongeuse,hotel faby,"Cité keur gorgui,
                                                                                Dakar",hotel faby,"Hier, 14:37",https://www.expat-dakar.com/annonce/cherche-plongeuse-6615612,expat-dakar.com
Technicien en Plomberie,N/A,"Dieuppeul,
                                                                                Dakar",,"Hier, 12:53",https://www.expat-dakar.com/annonce/technicien-en-plomberie-6681130,expat-dakar.com
