titre,entreprise,ville,contrat,date,lien,source,date_expiration
Stagiaire IT,Wise Group,"Dakar, Sénégal",Stage,2026-04-09,https://www.emploidakar.com/offre-demploi/wise-group-dakar-senegal-stage-stagiaire-it/,emploidakar,
Comptable expérimenté,Société de la place,"Ouest Foire, Rond-point Sipres",Prestation de Services,2026-04-09,https://www.emploidakar.com/offre-demploi/besoin-ouest-foire-rond-point-sipres-prestation-de-services-comptable-experimente/,emploidakar,
Directeur Régional – Afrique de l’Ouest,HELP Logistics,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/help-logistics-dakar-senegal-cdi-directeur-regional-afrique-de-louest/,emploidakar,
Managing Director Everllence Senegal,Everllence,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/everllence-dakar-senegal-cdi-managing-director-everllence-senegal/,emploidakar,
Commissioning Engineer,Everllence,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/everllence-dakar-senegal-cdi-commissioning-engineer/,emploidakar,
HR Admin (H/F),Global Talent HR,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/global-talent-hr-dakar-cdd-hr-admin-h-f/,emploidakar,
Conseillers commerciaux confirmés et polyvalents,Centre de relation client,"Sud Foire, Dakar",Stage,2026-04-09,https://www.emploidakar.com/offre-demploi/centre-de-relation-client-sud-foire-stage-conseillers-commerciaux-confirmes-et-polyvalents/,emploidakar,
Conseillers en Assurance Santé,OMEAVIE Assurances,"Sud Foire, Dakar",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/omeavie-assurances-sud-foire-dakar-cdd-stage-conseiller-commercial/,emploidakar,
People Operations Specialist (Chargé RH),Myriad,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/myriad-dakar-cdd-cdi-people-operations-specialist-charge-rh/,emploidakar,
Développeur FullStack Sénior – Java / Angular,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-senior-java-angular/,emploidakar,
Data Scientist Sénior SQL / Python,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-data-scientist-senior-sql-python/,emploidakar,
Dévéloppeur FullStack Java React,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-java-react/,emploidakar,
Développeur Fullstack Java/Vue js,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-developpeur-fullstack-java-vue-js/,emploidakar,
Coordinateurs de Projet,ALIMA,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-coordinateurs-de-projet/,emploidakar,
Responsable des Opérations,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-operations-manager-senegal/,emploidakar,
Chargé de Données,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-charge-de-donnees/,emploidakar,
Chargé de SIG,IMPACT,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/impact-dakar-senegal-cdd-charge-de-sig/,emploidakar,
Spécialiste de l’Aviation Civile,Ambassade des États-Unis à Dakar,"Dakar, Sénégal",CDI,2026-04-09,https://www.emploidakar.com/offre-demploi/ambassade-des-etats-unis-a-dakar-dakar-senegal-cdi-specialiste-de-laviation-civile/,emploidakar,
Conseillers Client Service Client – Français & Anglais,Concentrix,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-conseiller-client-service-client/,emploidakar,
Conseillers Client Télévente,Concentrix,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/concentrix-dakar-senegal-cdd-cdi-conseiller-client-televente/,emploidakar,
Chargé(e) du budget et de la planification des ressources,WFP,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/wfp-dakar-senegal-cdd-budget-and-programming-associate/,emploidakar,
Chargé d’ Administration des Ventes (H/F),RMO Sénégal,"Dakar, Sénégal",CDD,2026-04-09,https://www.emploidakar.com/offre-demploi/rmo-senegal-dakar-senegal-cdd-charge-d-administration-des-ventes-h-f/,emploidakar,
Chauffeur VTC,MBS,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/mbs-dakar-senegal-prestation-de-services-chauffeur-vtc/,emploidakar,
Stagiaire comptable,Société de la place,"Point E, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/societe-point-e-stage-stagiaire-comptable/,emploidakar,
Responsable des ventes,NAK'ALA,"Yoff, Dakar",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-cdd-responsable-des-ventes/,emploidakar,
Commercial terrain,NAK'ALA,"Yoff, Dakar",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nakala-dakar-yoff-stage-commercial-terrain/,emploidakar,
Closer / Setter (Commercial sur les Réseaux Sociaux),Myfavagency,Sénégal (Télétravail),Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-senegal-teletravail-100-a-domicile-prestation-de-services-closer-setter-commercial-sur-les-reseaux-sociaux-a-distance/,emploidakar,
Tailleur ou Couturière,Maison Makeda,Ouakam - Mamelles,Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/maison-makeda-ouakam-mamelles-prestation-de-services-tailleur-ou-couturiere/,emploidakar,
Engineering Manager,Myriad,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/myriad-dakar-cdd-cdi-engineering-manager/,emploidakar,
Vidéaste,Myfavagency,"Saly, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/myfavagency-saly-senegal-prestation-de-services-stage-videaste-saly-2/,emploidakar,
Responsable de Compétences (RC),Alten Sénégal,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-responsable-de-competences-rc/,emploidakar,
Lancement de la 6e Cohorte de Formation Humanitaire,Institut EHI,"Dakar, Sénégal",,2026-04-08,https://www.emploidakar.com/offre-demploi/institut-ehi-dakar-senegal-prestation-de-services-lancement-de-la-5e-cohorte-de-formation-humanitaire/,emploidakar,
