titre,entreprise,ville,contrat,date,lien,source
Assistant RH,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/assistant-rh/380,senego.com
Country Growth Operations Lead,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/country-growth-operations-lead/377,senego.com
Responsable National Multimédia et Contenus Numériques,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/responsable-national-multimedia-et-contenus-numeriques/374,senego.com
Vidéaste,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/videaste/371,senego.com
Superviseur des cultures et des contrats d’achat (H/F),N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/superviseur-des-cultures-et-des-contrats-dachat-h-f/384,senego.com
Commercial terrain,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/commercial-terrain/368,senego.com
Stage En ligne sur la fonction Évaluation,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/stage-en-ligne-sur-la-fonction-evaluation/381,senego.com
Ingénieur Traitement de l’Eau – Optimisation Énergétique,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/ingenieur-traitement-de-leau-optimisation-energetique/378,senego.com
Stagiaire Archiviste Financier,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/stagiaire-archiviste-financier/375,senego.com
Créateur de contenu / Vlog / Journalisme,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/createur-de-contenu-vlog-journalisme/372,senego.com
Closer / Setter (Commercial sur les Réseaux Sociaux),N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/closer-setter-commercial-sur-les-reseaux-sociaux/369,senego.com
Assistant(e) Administratif(ve) et Comptable Bilingue,N/A,Dakar,Emplois,9 avr. 2026 à 0h00,https://annonces.senego.com/assistant-e-administratif-ve-et-comptable-bilingue/382,senego.com
Responsable de Compétences (RC),N/A,Dakar,Emplois,8 avr. 2026 à 18h00,https://annonces.senego.com/responsable-de-competences-rc/366,senego.com
ALIMA RECRUTE SES FUTUR·E·S COORDINATEUR.RICES DE PROJET – H/FCDI,N/A,Dakar,Emplois,8 avr. 2026 à 18h00,https://annonces.senego.com/alima-recrute-ses-futur·e·s-coordinateur.rices-de-projet-h-fcdi/367,senego.com
Comptable confirmé,N/A,Dakar,Emplois,8 avr. 2026 à 18h00,https://annonces.senego.com/comptable-confirme/364,senego.com
CHEF DE SECTEUR JUNIOR,N/A,Dakar,Emplois,8 avr. 2026 à 18h00,https://annonces.senego.com/chef-de-secteur-junior/365,senego.com
Responsable des Operations,N/A,Dakar,Emplois,8 avr. 2026 à 0h00,https://annonces.senego.com/responsable-des-operations/359,senego.com
Business Developer – Merchant Payments,N/A,Dakar,Emplois,8 avr. 2026 à 0h00,https://annonces.senego.com/business-developer-merchant-payments/356,senego.com
